discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
43,28.99,Halloween Cartoon Pumpkin Pattern Drawstring Pullover Hoodie,41.456,8345316,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Pumpkin;Season:Fall,Spring;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-cartoon-pumpkin-pattern-drawstring-product8345316.html,2
38,28.99,Pumpkin Knight Pattern Front Pocket Casual Hoodie,40.006,8345306,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/pumpkin-knight-pattern-front-pocket-product8345306.html,
42,28.99,Maple Coin Pattern Front Pocket Lounge Hoodie,41.166,8345315,";ClothesType:Hoodies;Style:Casual;PatternType:Print;Material:Polyester,Spandex;ShirtLength:Regular;SleeveLength:Full;Season:Fall,Spring;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/maple-coin-pattern-front-pocket-product8345315.html,
41,28.99,Abstract Water Hole Pattern Front Pocket Casual Hoodie,40.876,8346058,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:3DPrint;Season:Fall,Spring;Weight:0.5800kg;PackageContents:1xHoodie",https://www.dresslily.com/abstract-water-hole-pattern-front-product8346058.html,
40,28.99,Red Moon Allover Print Kangaroo Pocket Hoodie,40.586,8347778,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:NoStretch;Thickness:Regular;Patterns:Moon;Season:Fall,Spring,Winter;Weight:0.6000kg;PackageContents:1xHoodie",https://www.dresslily.com/red-moon-allover-print-kangaroo-product8347778.html,1
47,28.99,Abstract Evil Eye Pattern Front Pocket Casual Hoodie,42.615,8346066,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5900kg;PackageContents:1xHoodie",https://www.dresslily.com/abstract-evil-eye-pattern-front-product8346066.html,
45,28.99,Leopard Ombre Print Kangaroo Pocket Hoodie,42.035,8347773,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:NoStretch;Thickness:Regular;Patterns:Leopard;Season:Fall,Spring,Winter;Weight:0.6000kg;PackageContents:1xHoodie",https://www.dresslily.com/leopard-ombre-print-kangaroo-pocket-product8347773.html,
42,28.99,Snake Animal Print Drawstring Hoodie,41.166,8348398,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:NoStretch;Thickness:Regular;Patterns:Animal;Season:Fall,Spring,Winter;Weight:0.6000kg;PackageContents:1xHoodie",https://www.dresslily.com/snake-animal-print-drawstring-hoodie-product8348398.html,1
43,28.99,Universe Space Planet Print Casual Hoodie,41.456,8348428,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:NoStretch;Thickness:Regular;Patterns:Galaxy;Season:Fall,Spring,Winter;Weight:0.6400kg;PackageContents:1xHoodie",https://www.dresslily.com/universe-space-planet-print-casual-product8348428.html,
47,28.99,Hamburger Print Kangaroo Pocket Hoodie,42.615,8348433,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:NoStretch;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.6000kg;PackageContents:1xHoodie",https://www.dresslily.com/hamburger-print-kangaroo-pocket-hoodie-product8348433.html,
